IdTransmitter,IdReceiver,SNR,PowerReception,PositionTransmission0,PositionTransmission1,PositionTransmission2,PositionReception0,PositionReception1,PositionReception2,Link,DatasetID
9,4,6.368998279740702,-93.63100172025929,101.0150634655211,310.9571407815883,2.3014487686676004,244.331413233435,260.68759183316126,1.5,1,1
13,12,15.021580970123162,-84.97841902987683,505.0074754399995,183.6348850629118,1.1896983865063122,781.6255825351068,539.7803115434637,1.5,1,1
11,7,13.421963628471804,-86.5780363715282,331.86598730581073,608.6378716183037,2.7879461149250093,491.308205922145,933.1253317189366,1.5,0,1
18,1,20.933853946709824,-79.06614605329017,331.85102893078266,739.9237646561552,1.3335746703673483,657.4489646739153,359.5407846481644,1.5,0,1
6,5,18.391627698335068,-81.60837230166493,220.1206018713493,612.7344829898966,1.7574067111623186,-461.01515553912645,1156.5961546895778,1.5,1,1
14,12,19.89926898469649,-80.10073101530351,113.25453730421603,306.51531759251463,2.088252003926202,891.0635334018415,327.896868746925,1.5,0,1
15,8,16.799430073441354,-83.20056992655864,713.4703820180638,123.8611197098498,2.481019042436637,699.5511015788376,215.9648807618363,1.5,0,1
7,10,11.943428713856427,-88.05657128614357,639.9488132698455,157.95542002094902,2.6862897300594906,-88.93917441351357,-355.19869607162667,1.5,0,1
9,14,28.820632873661925,-71.17936712633808,100.23260578232315,312.145911368893,2.3014487686676004,245.5549400013399,-142.23017206897174,1.5,1,1
3,7,7.160228994003474,-92.83977100599652,706.2110495750695,331.0015735834883,2.8226836324328177,1205.473164472257,885.8758088555003,1.5,1,1
18,9,28.47227498663268,-71.52772501336732,332.5382923130058,739.8265331496304,1.3335746703673483,446.7435464629189,834.961512886138,1.5,1,1
18,16,12.780951171618366,-87.21904882838163,332.16431965477244,739.8986137877936,1.3335746703673483,927.024080630132,422.9846090941734,1.5,1,1
14,11,17.816536134182435,-82.18346386581757,113.96787397860687,306.74529364752937,2.088252003926202,115.72814949480593,62.78888679458947,1.5,0,1
13,3,7.721058070688653,-92.27894192931134,505.19076568565214,183.42771543888713,1.1896983865063122,129.98253109517987,-53.958457280830544,1.5,1,1
0,17,6.773276709275232,-93.22672329072476,538.3626308478777,85.3630745279494,2.5613641493757244,541.572943334265,58.86257610505238,1.5,1,1
15,13,15.738636217965071,-84.26136378203493,714.000715160914,124.42503636934988,2.481019042436637,569.6372696573335,193.63092220952768,1.5,1,1
9,7,23.542434409491957,-76.45756559050804,101.54574963290246,311.389969387102,2.3014487686676004,106.91773738551689,210.37301901358285,1.5,0,1
18,10,11.734119438713725,-88.26588056128628,330.606488122038,739.2960638781233,1.3335746703673483,159.2542832461348,917.6743902630358,1.5,0,1
2,5,19.058697223383,-80.941302776617,597.2642513224457,135.85848051147423,2.157127864558709,601.3084212981967,244.80135177432092,1.5,0,1
4,2,11.96625851307046,-88.03374148692954,535.0038763373158,295.2447872576332,2.108198560791652,443.62593894555334,-393.71272977192734,1.5,0,1
8,13,14.71532652232602,-85.28467347767398,196.3758084060616,306.5494023210378,2.2884260319792356,162.457869612815,325.28699622385136,1.5,1,1
17,9,27.661157961845618,-72.33884203815438,285.712882889771,135.90498658178575,2.2134324039400077,903.025735020058,63.34105318556449,1.5,0,1
10,10,26.39599063737299,-73.60400936262701,541.6689573360775,156.10639640832935,2.7336429713769785,454.3033438810084,277.17647647709384,1.5,0,1
15,17,17.900438585440746,-82.09956141455925,713.2220887267904,123.64313145461064,2.481019042436637,1546.8499695262344,-322.9345916305386,1.5,0,1
1,9,10.952640686801969,-89.04735931319803,499.2634291186097,397.67111096357695,1.7804770991679901,1351.4113695068552,15.889137735588463,1.5,0,1
11,3,9.82959781832557,-90.17040218167443,332.81399597946563,608.7414096621064,2.7879461149250093,344.7486211489058,841.6839510291844,1.5,1,1
5,4,28.85218382589285,-71.14781617410715,159.08485756002014,591.1504375183191,1.3489969727959104,343.5591362972002,1.0353685544298514,1.5,0,1
10,2,10.067914912767188,-89.9320850872328,542.267062558694,156.27759459877734,2.7336429713769785,507.82831629611195,171.6778696478606,1.5,1,1
7,5,25.20420777281348,-74.79579222718652,639.8296499487642,157.99363299597357,2.6862897300594906,1449.87481876099,-303.88118966432614,1.5,0,1
11,5,14.224255238388432,-85.77574476161156,332.2496214277327,608.9053102879984,2.7879461149250093,-169.80471536044422,771.5993581995639,1.5,0,1
1,10,29.64149618895596,-70.35850381104405,500.4375578385989,398.3802758252233,1.7804770991679901,498.5485319686769,345.62316440381204,1.5,1,1
8,18,14.203893509069696,-85.7961064909303,197.0510640558998,307.0398424967264,2.2884260319792356,-144.53233580249807,378.97128022476545,1.5,1,1
14,8,13.787915622768152,-86.21208437723185,112.97786167876708,306.35161624325326,2.088252003926202,124.94570973900379,391.5965781719938,1.5,1,1
1,11,20.936590721940576,-79.06340927805942,499.8156803578432,398.66572339429763,1.7804770991679901,624.6666019350223,777.6448964367225,1.5,0,1
0,2,29.03792016567048,-70.96207983432951,538.5866478937558,86.02050473965433,2.5613641493757244,-62.08892781390932,390.0329260264639,1.5,0,1
9,13,29.405240144910824,-70.59475985508918,100.50192733731718,310.92965047029605,2.3014487686676004,116.90413836459201,-163.97819582287048,1.5,0,1
1,2,22.68015366167463,-77.31984633832536,499.96206044430795,398.3872520870386,1.7804770991679901,191.9998731212048,159.2856675390661,1.5,1,1
11,17,23.86515914090884,-76.13484085909116,331.96783072531184,609.9563423284326,2.7879461149250093,283.8376568946091,491.38716766329674,1.5,0,1
7,1,19.08505439932569,-80.91494560067432,639.9282041523354,157.37250504050184,2.6862897300594906,588.9963005221797,404.6718523792406,1.5,1,1
4,3,23.89439347830829,-76.10560652169171,533.4603138054293,295.24502646427123,2.108198560791652,425.0601146045132,307.94704581924856,1.5,0,1
0,9,26.494491374262413,-73.50550862573759,538.5595048909792,85.77082000429245,2.5613641493757244,1316.6964499915723,308.6378040352488,1.5,1,1
14,7,17.15238257987558,-82.84761742012442,113.17642242523665,307.06270187941817,2.088252003926202,172.4148744376498,175.93528967949536,1.5,1,1
5,12,20.49655657075257,-79.50344342924743,159.4498044414426,591.6269867260676,1.3489969727959104,757.6609801927129,553.583781125615,1.5,0,1
11,18,18.432917380826197,-81.5670826191738,332.15691468927685,609.2026972012652,2.7879461149250093,40.94897612814026,802.1211128386926,1.5,1,1
7,2,19.06176533821693,-80.93823466178307,640.3395691417398,157.43987927659748,2.6862897300594906,873.5038482954618,173.52724359365521,1.5,0,1
12,2,27.25119774684852,-72.74880225315148,694.7047636059431,545.8088357199485,2.839585143558873,1005.2418587552255,1108.934547289787,1.5,0,1
18,4,13.890420755139257,-86.10957924486074,332.25557540978457,739.9974998009167,1.3335746703673483,66.41847893841322,361.6137560476317,1.5,1,1
0,6,10.204600640015606,-89.7953993599844,538.9239672256177,86.37246715220273,2.5613641493757244,229.39351571557216,-176.57973110506822,1.5,0,1
